青松,12k-20k,经验3-5年 / 不限,"“五险一金,年度旅游,年度旅游,股票期权”",Python工程师,北京·燕莎
印孚瑟斯,10k-20k,经验3-5年 / 大专,"“6险1金,外企,大项目,少加班”",Python开发工程师,北京·燕莎
进馨科技,15k-25k,经验1-3年 / 本科,“福利好、发展前景大、工作氛围好、妹子多”,Python开发工程师,北京·燕莎
知乎,15k-30k,经验3-5年 / 本科,“薪资优厚、氛围宽松、每日三餐、六险一金”,Python开发工程师,北京·燕莎
深瞐科技,8k-12k,经验1-3年 / 本科,“五险一金，带薪年假，补贴”,Python 开发工程师,北京·燕莎
区块互连,8k-12k,经验3-5年 / 大专,"“五险一金,弹性工作,带薪年假,节日福利”",Python工程师,北京·燕莎
天下秀,18k-25k,经验1-3年 / 本科,"“团队氛围,环境宜人,做五休二”",Python开发工程师,北京·燕莎
创新工场AI工程院,15k-30k,经验1-3年 / 本科,"“谷歌大牛,商业资源,成长空间大,人工智能”",python开发工程师,北京·燕莎
Veeva,25k-35k,经验5-10年 / 本科,"“纽交所上市,SaaS,生命科学,CRM”",高级工程师-Python,北京·燕莎
ZingFront智线,8k-10k,经验1-3年 / 本科,"“五险一金,带薪年假”",Python中级工程师,北京·燕莎
数美,15k-30k,经验1年以下 / 硕士,"“飞速发展,技术氛围浓,大牛担任导”",python研发工程师,北京·燕莎
助理来也,15k-30k,经验1-3年 / 本科,"“人工智能,弹性工作,扁平管理,技术牛人”",Python开发工程师,北京·燕莎
云房数据,10k-16k,经验3-5年 / 不限,“五险一金 工作环境好 弹性工作时间”,Python,北京·燕莎
网信集团,8k-16k,经验3-5年 / 本科,"“六险一金,弹性工作制,股票期权,饭补”",Python开发工程师,北京·燕莎
健培,10k-15k,经验1-3年 / 本科,“高薪、五险一金、氛围好”,Python软件开发,北京·燕莎
NaturLing教育科技,15k-25k,经验3-5年 / 本科,"“弹性工作,硅谷文化,国际化团队,股权激励”",资深Python研发工程师,北京·燕莎
康通,7K-14K,经验1-3年 / 本科,"“五险一金,亲属关爱金,免费中晚餐,福利齐全”",Python工程师,北京·燕莎
搜狗,20k-40k,经验3-5年 / 本科,“技术先进、团队气氛佳”,技术工程部-python开发工程师,北京·燕莎
Demo++,15k-20k,经验3-5年 / 本科,"“目标导向,团队协作”",Python工程师,北京·燕莎
京东金融,25k-50k,经验5-10年 / 本科,“餐补+年终奖+良好的晋升空间”,Python研发工程师,北京·燕莎
中畅科技,9k-18k,经验1-3年 / 本科,"“五险一金,带薪年假,年度旅游,福利多”",python工程师,北京·燕莎
会分期,15k-30k,经验3-5年 / 本科,"“股票期权,弹性工作制,行业龙头,地铁周边”",python开发工程师,北京·燕莎
学堂在线,20k-30k,经验3-5年 / 本科,"“五险一金,餐补,生日会,优秀团队”",Python开发工程师,北京·燕莎
ZingFront智线,8k-15k,经验1-3年 / 本科,"“五险一金,补充医疗险,房租补贴,带薪年假”",Python中级工程师,廊坊·广阳区
北蚁,8k-12k,经验3-5年 / 大专,"“五险一金,员工旅游,休闲餐点,扁平管理”",python工程师,廊坊·广阳区
iHandy,15k-30k,经验1-3年 / 本科,"“六险一金,福利待遇佳,硅谷式办公,免费水果”",Python开发工程师,廊坊·广阳区
1Token.Trade,10k-20k,经验1-3年 / 本科,"“时间自由,技术先进,区块链”",python 开发工程师,廊坊·广阳区
Veeva,25k-35k,经验5-10年 / 本科,"“纽交所上市,云计算,SaaS,生命科学”",高级Python开发工程师,廊坊·广阳区
凤凰网,15k-25k,经验3-5年 / 本科,“八险一金、优秀团队”,Python工程师-北京-01084,廊坊·广阳区
Face++,15k-30k,经验3-5年 / 本科,“平台好；福利多”,python工程师,廊坊·广阳区
好巧,20k-30k,经验3-5年 / 本科,"“带薪年假,五险一金,弹性工作,股票期权”",python工程师,廊坊·广阳区
罗辑思维,20k-40k,经验3-5年 / 本科,"“弹性工作,不考勤,团队好,节操币”",Python开发工程师,廊坊·广阳区
北京天融信公司,10k-15k,经验1-3年 / 本科,"“七险一金,年终奖,带薪年假,带薪病假”",python开发工程师,廊坊·广阳区
上海华瑞银行,20k-40k,经验3-5年 / 本科,"“六险两金,年度体检,绩效奖金,渠道晋升”",Python开发工程师,廊坊·广阳区
爱奇艺,18k-28k,经验1-3年 / 硕士,“14薪，12天带薪年假，地铁周边”,Python开发工程师,廊坊·广阳区
思源科技,20k-30k,经验5-10年 / 本科,"“云,大数据,AI”",python,廊坊·广阳区
The ONE,20k-30k,经验3-5年 / 本科,"“免费午晚餐,五险一金,交补,年终奖”",python,廊坊·广阳区
亿可能源,15k-30k,经验3-5年 / 本科,“技术大牛”,Python,廊坊·广阳区
Veeva,15k-25k,经验3-5年 / 本科,"“纽交所上市,云计算,SaaS,生命科学”",软件工程师 - Python,北京·燕莎
问卷网@爱调研,6k-12k,经验1-3年 / 本科,"“带薪年假,定期体检,五险一金,福利多多”",Python,北京·燕莎
新东方教育行业研究院,20k-30k,经验5-10年 / 本科,"“集团背景,季度奖金,年终奖,福利多多”",高级Python工程师,北京·燕莎
花果山,5k-8k,经验1-3年 / 本科,“年轻富有活力的团队，稳步发展的创业公司。”,Python,北京·燕莎
缔联科技,10k-20k,经验3-5年 / 本科,"“周末双休,法定节假日,六险一金,年底双薪”",Python开发工程师,北京·燕莎
推想科技,10k-15k,经验1-3年 / 大专,"“弹性工时,五险一金,团队牛逼,14薪”",python工程师,北京·燕莎
捷云智慧,6k-12k,经验1-3年 / 本科,"“绩效奖金,带薪年假”",Python,北京·燕莎
德惟科技,8k-12k,经验1-3年 / 本科,"“技术大牛多,综合福利好,包餐,假期多”",python开发,北京·燕莎
紫川软件,12k-19k,经验3-5年 / 大专,“员工旅游 员工体检 五险一金”,python开发工程师,北京·燕莎
老虎证券,20k-40k,经验1-3年 / 本科,"“加班少,福利好”",python开发工程师,北京·燕莎
VMAXX,7k-10k,经验1-3年 / 本科,"“深度学习,人工智能,精英团队,研发工程师”",Python研发工程师,北京·燕莎
好巧,35k-50k,经验5-10年 / 本科,"“带薪年假,弹性工作,五险一金,股票期权”",python高级工程师,北京·燕莎
俊云科技,6k-10k,经验1-3年 / 本科,"“高薪资,丰厚年终奖,期权,百万级产品”",Python开发工程师,北京·燕莎
深信服科技集团,15k-20k,经验1-3年 / 本科,"“平台大,发展快,待遇好,福利棒”",Python软件开发工程师,北京·燕莎
飞榴科技,10k-20k,经验1-3年 / 本科,"“技术挑战大,团队协作好,工作环境佳,个人成长快”",Python开发工程师,北京·燕莎
