,comment,name
26,马马虎虎，没支付宝优惠。,冻歌
27,有没有懂得解封永久被封微信,带着音符去旅行
28,就是查找微信里的内容，没有搜索，要一个一个往下找很麻烦。,cherry8n
29,真好用，很方便,hahaha5
30,你好我是谷少琴请通过,180****7556
31,人活着有两条路可以走，一条是死去另一条是继续活着好好珍惜生命,陌生人
32,哈哈，还不错,用户30441560
33,不错哟很好,thomasicey
34,"不错d
很好用",你好年家里冷旅途兔兔
35,好好好好好！,仙法玲珑あ
36,哈哈哈好好好好好好好好好好好好好好好好好好好好,t_1502961339237_0563
37,好产品，很好玩，五星评分,何洋生
38,这应用好的打开快,梁恺
39,你会啦咯啦咯,thomasicey
40,特别的微信，特别的A.,136****6138
41,灰常好，无可挑剔的好用。,188****9482
42,不错不要老封号就行了,zwb1325
43,最新版本还挺好用的,sally
44,垃圾软件。死垃圾,网络人生45922081
45,辣鸡！！！！！！！,wb**72806439
46,太占内存，不好,大白
47,真的有必要搞这么大一个吗？1g运行的现在用不了了。这样搞下次玩不下去了。。这个又不是人人要又的。13亿中国人还有那么多人没有这个。,fark002
48,垃圾微信，提现要钱，不用又不行,梦开始
49,赶紧设立分组功能，消息屏蔽功能，妮玛的，说了多少次了,你行你上-不行就没有逼_逼
50,下班之后，老板喜欢微信，员工憎恨微信。,朱术玲
51,用过的最垃圾的app,执波佬_Artyom
52,为什么越更新越大，功能不好，提醒手续费多多，还是比不上支付宝,佳佳卓
53,你更新是你的事   干嘛把我指纹支付给弄没了,lk无神论
54,只能当吹牛地方，提现还他妈收手续费，支付首选支付宝，优惠多多!,携手未来tb
55,我去你大爷 刚更新四天又来更新  你妹的,用户1092839586
56,"这个版本的返回居然会卡
只是我的手机问题？
有时候甚至会死机",陈大麟
57,都没什么变,t_1482810989500_0215
58,一直在升级就不能更新点特色的？,喵喵～
59,突然发现微信不是官方版？？？没看到官字,?老王?
60,降回旧版，因为新版删除信息浪费时间,?老王?
61,不好，支付密码忘记了，绑定的银行卡丢了，没有身份证，根本找不回来了,用户1294354485
62,不可以給零分嗎？又愛又恨。不想用，又不得不用。,马桶上的小白
63,更不更新都一样，能不能给我点惊喜呀,为主而活
64,改个毛，为什么三星S8+依然不支持指纹支付,用户950627537
65,很好的交流软件。,用户1782955196
66,minkLove13095218372,130****8372
67,功能越来越强大,风清扬
68,"微信的功能是不错。
但也是让安卓手机变慢、宕机的罪魁祸首！
为微信里面本来就应该附带可设置可选择要清除垃圾的选项。
最好可以设置，影片和图片可搬移到其他记忆卡其他目录的功能。",用户1362440751
69,用着很方便啊,借条找我946148826
70,什么时候能跟苹果一样朋友圈可以发高清图片跟视频啊。  安卓微信。！！！,z245296133
71,新版悬浮窗和呼吸灯正常了没,大傲娇
72,建议增加文字信息定时发送功能,136****4370
73,建议增加升级新程序时，卸载老程序的功能，减少程序占用手机空间。,随缘qwaz
74,"nk










123$5",用户48977075
75,新版本呼吸灯正常吗,w742219040
76,怎么用的了,tb765402_88
77,好烂好烂啊,156****1342
78,垃圾,1350658746
79,删除聊天加了几个对话框，删除老费劲了，果断卸了装回旧版本，新版本太难用了，6.5.19之后如果不去掉新加的删除对话框，大家永远不要升级，超级差评，非常难用，一颗心也不想给,他他他
80,服务垃圾。功能垃圾,精创联盟
81,不好用，老是卡的很，一点聊天窗口就回到了才启动的那个窗口,浪子
82,為啥我的網登不上不能用,用户1782104123
83,最新版每次都是视频播放失败。大家有没有这样的情况？,情深缘浅
84,辣鸡辣鸡辣鸡,圖圖兔520
85,微信越来越垃圾了！没用的功能越来越多，安装包越来越臃肿！问题是现在还强制用户升级到新版本！不然就不能登陆账号！这是微信作死的节奏！你新版本适配安卓4.0的机型吗？看来张小龙的脑袋是被驴踢了！,海**8
86,垃圾中午的,江下雨
87,啊啊啊啊啊啊啊,0
88,去他妈的腾讯微信骗人，还说他的微信是支付平台，越来越不值得信任了，才支付一点点小金额，大点金额就支付不了，腾讯还有脸说是购物平台，支付平台，去他妈的骗子腾讯，支付没有保险，购物没有保障，骗子腾讯骗子腾讯骗子腾讯,t_1488250073401_0459
89,傻逼至极他妈居然还想要五个字以上的评论,用户728483058
90,注册非常麻烦，无亲无友根本不可能注册！,阿特莱德
91,升级完了，打开朋友圈链接老有问题,防腐剂一号
92,一星都不想给,tb765402_88
93,腾讯支付垃圾，是小孩子玩的付，只能支付小钱，腾讯还有脸说是支付平台，去他妈的腾讯垃圾公司！,t_1488250073401_0459
94,你大爷的，有时还卡在进入界面进不去，占我400多空间。要不是你还有点用，早卸载了。,先行者→宇主！
95,更新完了安装不了。,黑黑黑白白白
96,能不能不要更新得这么快,nly情字伤人
97,安装包越来越大了。,柒℡
98,一个破微信还能传一个g的空间，还有这么恶心的软件。？？？,tzhang2008zt
99,内存要求越来越高 受不了,陈黛玉她妈
